iter	Passed	Remaining
407	5247	33336
408	5259	33317
409	5272	33309
410	5300	33392
411	5318	33408
412	5333	33410
413	5346	33395
414	5358	33380
415	5371	33364
416	5384	33355
417	5398	33343
418	5413	33345
419	5428	33343
420	5442	33340
421	5456	33335
422	5469	33321
423	5482	33307
424	5494	33292
425	5507	33275
426	5519	33257
427	5530	33235
428	5542	33217
429	5554	33198
430	5566	33179
431	5579	33166
432	5591	33146
433	5602	33123
434	5615	33110
435	5627	33092
436	5639	33073
437	5652	33062
438	5666	33056
439	5679	33042
440	5690	33022
441	5704	33013
442	5715	32991
443	5729	32982
444	5742	32971
445	5756	32963
446	5768	32945
447	5780	32929
448	5792	32911
449	5805	32895
450	5816	32875
451	5829	32859
452	5841	32842
453	5853	32823
454	5865	32807
455	5877	32787
456	5891	32783
457	5902	32762
458	5914	32742
459	5927	32727
460	5938	32705
461	5949	32686
462	5962	32670
463	5974	32654
464	5986	32634
465	5998	32616
466	6009	32593
467	6021	32577
468	6033	32561
469	6044	32537
470	6056	32520
471	6069	32506
472	6081	32489
473	6093	32474
474	6105	32455
475	6117	32436
476	6128	32414
477	6140	32400
478	6152	32378
479	6165	32366
480	6176	32344
481	6187	32321
482	6199	32305
483	6211	32288
484	6224	32277
485	6235	32257
486	6249	32246
487	6260	32225
488	6272	32211
489	6284	32193
490	6296	32173
491	6307	32154
492	6319	32136
493	6331	32118
494	6343	32103
495	6355	32086
496	6368	32073
497	6379	32051
498	6391	32032
499	6402	32013
500	6415	32002
501	6427	31981
502	6440	31973
503	6452	31957
504	6464	31937
505	6476	31920
506	6486	31897
507	6497	31874
508	6510	31859
509	6521	31840
510	6533	31821
511	6545	31808
512	6557	31791
513	6569	31774
514	6580	31753
515	6592	31734
516	6603	31714
517	6615	31698
518	6628	31686
519	6639	31664
520	6651	31650
521	6662	31627
522	6673	31607
523	6684	31587
524	6695	31566
525	6707	31546
526	6717	31523
527	6728	31502
528	6740	31487
529	6752	31468
530	6763	31446
531	6774	31428
532	6786	31411
533	6799	31400
534	6811	31383
535	6823	31367
536	6834	31346
537	6846	31328
538	6857	31308
539	6869	31292
540	6880	31273
541	6892	31256
542	6904	31241
543	6915	31222
544	6927	31205
545	6939	31188
546	6950	31167
547	6962	31151
548	6972	31129
549	6985	31115
550	6996	31096
551	7008	31081
552	7019	31060
553	7030	31042
554	7042	31023
555	7053	31003
556	7064	30984
557	7075	30965
558	7086	30946
559	7098	30929
560	7110	30912
561	7121	30892
562	7134	30880
563	7146	30865
564	7159	30854
565	7170	30835
566	7182	30819
567	7194	30804
568	7207	30793
569	7218	30774
570	7229	30755
571	7240	30735
572	7253	30721
573	7274	30744
574	7286	30729
575	7298	30715
576	7310	30697
577	7320	30675
578	7332	30658
579	7343	30640
580	7355	30623
581	7366	30605
582	7378	30590
583	7389	30572
584	7401	30555
585	7413	30539
586	7425	30523
587	7437	30506
588	7449	30491
589	7460	30474
590	7472	30460
591	7484	30441
592	7496	30428
593	7507	30408
594	7518	30388
595	7529	30370
596	7540	30352
597	7553	30338
598	7564	30321
599	7576	30305
600	7587	30287
601	7600	30274
602	7611	30257
603	7622	30238
604	7634	30222
605	7645	30204
606	7657	30189
607	7668	30171
608	7680	30154
609	7692	30139
610	7704	30123
611	7715	30104
612	7726	30086
613	7738	30072
614	7749	30054
615	7760	30035
616	7772	30020
617	7783	30001
618	7794	29982
619	7805	29964
620	7817	29947
621	7828	29930
622	7839	29912
623	7851	29897
624	7862	29878
625	7873	29860
626	7884	29841
627	7896	29823
628	7907	29805
629	7918	29789
630	7930	29774
631	7941	29756
632	7954	29745
633	7965	29725
634	7978	29713
635	7989	29696
636	8000	29679
637	8012	29665
638	8023	29646
639	8034	29627
640	8046	29613
641	8058	29596
642	8069	29580
643	8081	29563
644	8092	29548
645	8103	29530
646	8116	29517
647	8127	29499
648	8139	29486
649	8150	29468
650	8162	29451
651	8173	29433
652	8183	29414
653	8194	29396
654	8206	29382
655	8217	29363
656	8229	29347
657	8241	29334
658	8261	29349
659	8273	29334
660	8284	29317
661	8296	29301
662	8307	29283
663	8319	29267
664	8330	29249
665	8341	29233
666	8353	29217
667	8363	29198
668	8376	29184
669	8387	29169
670	8401	29160
671	8413	29147
672	8424	29128
673	8437	29117
674	8450	29107
675	8463	29094
676	8474	29080
677	8487	29068
678	8499	29051
679	8510	29035
680	8521	29018
681	8532	29000
682	8543	28984
683	8555	28967
684	8566	28949
685	8576	28930
686	8588	28915
687	8600	28901
688	8612	28887
689	8624	28873
690	8635	28856
691	8646	28839
