iter	MAE
1322	718504.498
1323	718389.3178
1324	718313.0574
1325	718278.3939
1326	718261.7944
1327	718231.7984
1328	718183.6177
1329	718094.5353
1330	718066.4318
1331	718036.018
1332	717897.4416
1333	717776.4221
1334	717588.1292
1335	717551.3845
1336	717513.9768
1337	717468.1533
1338	717396.5798
1339	717347.0437
1340	717299.0647
1341	717278.1141
1342	717218.7743
1343	717162.5592
1344	717143.1772
1345	717125.8698
1346	717086.5611
1347	717044.4919
1348	716987.8061
1349	716952.4319
1350	716778.1368
1351	716721.41
1352	716618.6549
1353	716567.6103
1354	716501.6723
1355	716459.6012
1356	716395.4452
1357	716314.5742
1358	716210.6651
1359	716179.9128
1360	716088.4622
1361	716062.979
1362	716034.7559
1363	715948.0613
1364	715922.5544
1365	715905.228
1366	715785.556
1367	715740.7053
1368	715725.1316
1369	715622.4225
1370	715564.1545
1371	715523.3919
1372	715470.3389
1373	715371.6701
1374	715340.2493
1375	715318.1694
1376	715204.073
1377	715157.6617
1378	715083.7102
1379	715031.4903
1380	715013.1221
1381	714931.9536
1382	714874.8125
1383	714843.0632
1384	714776.4734
1385	714675.2602
1386	714628.9372
1387	714512.254
1388	714451.5543
1389	714338.5672
1390	714196.1404
1391	714048.9479
1392	714043.0659
1393	713993.2465
1394	713984.2076
1395	713958.8861
1396	713928.0683
1397	713888.3415
1398	713771.0372
1399	713715.2602
1400	713664.01
1401	713642.1141
1402	713610.626
1403	713519.4557
1404	713473.8833
1405	713457.291
1406	713403.192
1407	713319.7879
1408	713298.75
1409	713199.3334
1410	713174.6907
1411	713121.9406
1412	713081.1996
1413	713059.8174
1414	712923.2028
1415	712876.7569
1416	712858.713
1417	712796.1308
1418	712684.7385
1419	712646.7857
1420	712507.653
1421	712489.5924
1422	712472.749
1423	712462.8535
1424	712418.5138
1425	712401.8306
1426	712369.9545
1427	712309.673
1428	712275.1258
1429	712211.0794
1430	712185.6559
1431	712177.027
1432	712139.9382
1433	712084.9162
1434	711928.2336
1435	711893.9695
1436	711773.6582
1437	711753.2594
1438	711726.9325
1439	711611.1244
1440	711589.1936
1441	711555.8787
1442	711510.0429
1443	711489.9557
1444	711454.2694
1445	711448.3733
1446	711379.0516
1447	711357.6164
1448	711338.0956
1449	711317.0951
1450	711285.0549
1451	711203.4958
1452	711161.5831
1453	711053.9458
1454	710987.8931
1455	710964.9606
1456	710924.6993
1457	710875.586
1458	710836.8463
1459	710812.2573
1460	710770.1561
1461	710732.2233
1462	710692.4488
1463	710644.5692
1464	710619.0532
1465	710585.1809
1466	710573.5643
1467	710454.5638
1468	710433.1621
1469	710399.5581
1470	710349.2532
1471	710287.4241
1472	710249.2842
1473	710220.2009
1474	710110.6295
1475	710090.7655
1476	709962.1298
1477	709925.145
1478	709899.6631
1479	709798.0228
1480	709781.2926
1481	709694.1507
1482	709650.1645
1483	709582.8872
1484	709567.3695
1485	709500.763
1486	709468.1575
1487	709398.7337
1488	709346.3388
1489	709257.921
1490	709234.2995
1491	709226.0754
1492	709214.2679
1493	709085.2092
1494	709065.67
1495	709010.6237
1496	708994.5095
1497	708953.0835
1498	708932.2553
1499	708884.1606
1500	708855.1658
1501	708732.8175
1502	708683.96
1503	708632.8203
1504	708589.2367
1505	708519.154
1506	708427.1578
1507	708395.1679
1508	708360.1447
1509	708292.3161
1510	708238.2503
1511	708153.7555
1512	708105.0775
1513	708092.6566
1514	708060.2656
1515	708034.7826
1516	708019.0872
1517	707970.5101
1518	707936.6518
1519	707879.8423
1520	707802.8588
1521	707767.8403
1522	707755.515
1523	707668.1147
1524	707656.4263
1525	707625.1245
1526	707552.514
1527	707493.5449
1528	707436.1332
1529	707422.5532
1530	707399.68
1531	707352.4838
1532	707315.9912
1533	707267.0559
1534	707222.7769
1535	707176.1293
1536	707130.5558
1537	707114.2847
1538	707082.9835
1539	707019.9231
1540	706963.3402
1541	706779.4625
1542	706608.9935
1543	706583.3483
1544	706546.6672
1545	706527.6977
1546	706517.8069
1547	706476.6377
1548	706359.1309
1549	706332.1566
1550	706315.2635
1551	706202.7401
1552	706180.5979
1553	706102.6216
1554	706030.0935
1555	706004.9485
1556	705981.2191
1557	705972.7093
1558	705902.332
1559	705831.3341
1560	705729.755
1561	705712.5196
1562	705645.6681
1563	705425.9458
1564	705390.28
1565	705369.0733
1566	705320.4475
1567	705242.0272
1568	705183.6137
1569	705160.7601
1570	705143.6836
1571	705058.5808
1572	705040.1678
1573	704972.9797
1574	704942.7208
1575	704929.679
1576	704918.1104
1577	704825.9473
1578	704552.5943
1579	704534.3477
1580	704511.1129
1581	704488.2179
1582	704456.622
1583	704411.4286
1584	704384.2146
1585	704235.8628
1586	704178.0534
1587	704096.2879
1588	704072.5519
1589	704031.2269
1590	703914.9517
1591	703889.5286
1592	703855.4574
1593	703839.6488
1594	703769.4556
1595	703665.4627
1596	703635.6957
1597	703588.7289
1598	703541.157
1599	703474.9702
1600	703465.66
1601	703399.4946
1602	703342.7485
1603	703317.2313
1604	703279.7327
1605	703221.5688
1606	703161.8727
1607	703125.8699
1608	703102.2529
1609	703008.4977
1610	702991.3747
1611	702939.3758
1612	702923.4188
1613	702866.3696
1614	702802.8391
1615	702745.6218
1616	702656.6826
1617	702584.2206
1618	702520.1714
1619	702495.5414
1620	702462.9546
1621	702409.2774
1622	702361.3849
1623	702327.0547
1624	702266.2762
1625	702221.048
1626	702205.7638
1627	702181.589
1628	702133.8667
1629	702110.9374
1630	702094.7997
1631	702047.5987
1632	702011.6474
1633	701955.3225
1634	701901.552
1635	701846.4438
1636	701709.5144
1637	701671.1215
1638	701615.6574
1639	701562.4109
1640	701429.6874
1641	701398.3626
1642	701351.6323
1643	701344.0026
1644	701296.1445
1645	701246.3095
1646	701178.1425
1647	701116.5271
1648	700997.0909
1649	700968.6085
1650	700898.6092
1651	700855.0431
1652	700737.454
1653	700717.6016
1654	700641.6858
1655	700608.8763
1656	700585.879
1657	700562.701
1658	700511.2092
1659	700490.9772
1660	700459.333
1661	700385.5246
1662	700344.3092
1663	700333.6844
1664	700267.9864
1665	700244.1845
1666	700190.0327
1667	700166.34
1668	700158.3833
1669	700098.8511
1670	699994.1701
1671	699957.3754
1672	699874.6865
1673	699818.1879
1674	699750.292
1675	699739.2085
1676	699715.7265
1677	699663.8174
1678	699624.4834
1679	699557.2274
1680	699482.0071
1681	699444.5889
